index,url,brand,name,price,stars,num_ratings,num_reviews,reviews,platform,image,vader_score,final_score
49,http://flipkart.com/urbano-fashion-slim-men-black-jeans/p/itmf3vzvepvpz8by?pid=JEAEP6TF9YPFBA2Z&lid=LSTJEAEP6TF9YPFBA2ZX4BYIX&marketplace=FLIPKART&store=clo%2Fvua%2Fk58%2Fi51&srno=b_1_10&otracker=browse&fm=organic&iid=833d958c-4a8b-4ed7-ad10-fbdc5490fbd4.JEAEP6TF9YPFBA2Z.SEARCH&ppt=None&ppn=None&ssid=9w50j8i8e80000001680018546142,Urbano Fashion ,Men Slim Mid Rise Black Jeans,₹591,3.8,86813,11558,nice product good at this price range very nice,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/jean/r/a/b/38-eps-black-03-urbano-fashion-original-imaghkgk27whjcej.jpeg?q=70,1.2833999999999999,1.0001675720940209
0,https://www.amazon.in/Ben-Martin-Relaxed-BMW-JJ3-DARK-p4-34_Dark-Blue_34/dp/B019XSHCG4/ref=zg_bs_1968076031_sccl_1/258-1229559-2740407?psc=1,Ben Martin,Men's Relaxed Fit Jeans,₹499,3.6,32076,5500,perfect very good product may be improved product was good and comfort but the packing is terrible just a clear plastic cover the quality does worth the price i paid good pair of jeans and looks very solid and reliable\n\ntwo things to keep in mind\n\n1 pockets arent deep enough its a bit risky to keep your phone in this cuz its easier to get stolen and could maybe fall off if you bend a lot of times they could have been deeper\n\n2 belt line the top end of your jeans it is at hip level i usually wear my jeans at a little bit above waist level and thats how most jenas have fit me this one has a shorter top part so if you are comfortable with a hip level jeans go for it\n\nthats all thanks you dont like material and size based on the price its okay but only after the first wear the stitch came out from one side good product product is ok but the size is too short and tight  as per compare to other brand 32 size normally fitted to me and it is very tight on waist and thigh ,Amazon,https://m.media-amazon.com/images/I/616xchp1ECL._UY550_.jpg,5.781500000000002,0.8171867614855566
44,http://flipkart.com/ben-martin-regular-men-dark-blue-jeans/p/itmf3vm3sfdf5pjk?pid=JEAEDPVHU8HZ6Y9R&lid=LSTJEAEDPVHU8HZ6Y9RTE7FNU&marketplace=FLIPKART&store=clo%2Fvua%2Fk58%2Fi51&srno=b_1_5&otracker=browse&fm=organic&iid=833d958c-4a8b-4ed7-ad10-fbdc5490fbd4.JEAEDPVHU8HZ6Y9R.SEARCH&ppt=None&ppn=None&ssid=9w50j8i8e80000001680018546142,BEN MARTIN ,Men Regular Mid Rise Dark Blue Jeans,₹499,3.7,56770,6728,good product good product good,Flipkart,https://rukminim1.flixcart.com/image/832/832/jean/n/u/3/bmw-darklevis-ben-martin-32-original-imaedpc4zcgjadsv.jpeg?q=70,1.3212000000000002,0.6270736447889476
16,https://www.amazon.in/Urbano-Fashion-Stretch-Jogger-jog-hps-lblue-40-fba/dp/B074RKW73T/ref=zg_bs_1968076031_sccl_17/258-1229559-2740407?psc=1,Urbano Fashion,Men's Light Grey Slim Fit Jogger Jeans Stretch,₹799,3.7,11781,1968,good product is very good but the colour gets faded so soon colour and quality of cloth is very good length is 34 inch which is universal nice pants value for money ordered 3 different colours product is nice but isnt thick its transparentotherwise fits are perfectbought for my son it is perfectly fitted the denim cloth is flawless stitching is very good comfortable and durable just what i wanted in a denim jogger pant canbe used as lounge pant must buy they shipped smaller size to me thanks god i have younger sibling product is okay in price range fitting and stich is very good bit tight at waist while using restroom  cloth quality is not upto expectation colour is dull and paint is not stretchable quality is good  material feels durable in my case\ni think it is worth the money\nopinions are relative ok quality wise expensive for the quality offered here,Amazon,https://m.media-amazon.com/images/I/818K1j9LWTL._UX466_.jpg,7.020500000000002,0.3403045488618882
80,http://flipkart.com/urbano-fashion-jogger-fit-men-black-jeans/p/itmf3vzx2zufyzhy?pid=JEAF2R77YAZHQZUX&lid=LSTJEAF2R77YAZHQZUXCLSOZZ&marketplace=FLIPKART&store=clo%2Fvua%2Fk58%2Fi51&srno=b_2_41&otracker=browse&fm=organic&iid=673763d9-8450-493c-aacc-46160623d1a1.JEAF2R77YAZHQZUX.SEARCH&ppt=None&ppn=None&ssid=ndomp0wh1c0000001680018546853,Urbano Fashion ,Men Jogger Fit Mid Rise Black Jeans,₹849,4.0,19276,2520,nice one👍👌😎 super product good product,Flipkart,https://rukminim1.flixcart.com/image/832/832/kdnf98w0hlty2aw-0/jean/j/z/4/32-1-zip-jog-hps-black-urbano-fashion-original-imafumy3h3qqwbxm.jpeg?q=70,2.3068,0.274954526814362
83,http://flipkart.com/supernova-inc-slim-men-light-blue-jeans/p/itm0462b269ee3cf?pid=JEAGYTZNBWJNHKEH&lid=LSTJEAGYTZNBWJNHKEHJMD4MM&marketplace=FLIPKART&store=clo%2Fvua%2Fk58%2Fi51&srno=b_2_45&otracker=browse&fm=organic&iid=673763d9-8450-493c-aacc-46160623d1a1.JEAGYTZNBWJNHKEH.SEARCH&ppt=None&ppn=None&ssid=ndomp0wh1c0000001680018546853,Supernova Inc. ,Men Slim Mid Rise Light Blue Jeans,₹499,3.8,17235,1937,excellent 👌👌 very good good for this price 👏,Flipkart,https://rukminim1.flixcart.com/image/832/832/kfeamq80-0/jean/b/u/c/36-suplpsjean-lblue-supernova-inc-original-imafvvajnhrvpqhw.jpeg?q=70,2.3581999999999996,0.2270553695910652
122,https://www.snapdeal.com/product/urbano-fashion-grey-slim-jeans/638679344889,Urbano Fashion,Grey Cotton Blend Slim Fit Men's Jeans ( Pack of 1 ),775,4.0,506,24,,Snapdeal,https://n2.sdlcdn.com/imgs/k/h/9/Urbano-Fashion-Grey-Cotton-Blend-SDL173301762-1-eb5eb.jpg,0.0,0.22693330582626595
152,https://www.snapdeal.com/product/urbano-fashion-black-slim-fit/644130204642,Urbano Fashion,Black Cotton Blend Slim Fit Men's Jeans ( Pack of 1 ),649,3.6,464,28,,Snapdeal,https://n4.sdlcdn.com/imgs/k/j/t/Urbano-Fashion-Black-Cotton-Blend-SDL096307058-1-974b6.jpg,0.0,0.1872872500257879
1,https://www.amazon.in/Urbano-Fashion-Mens-Jeans-eps-black-32-06/dp/B076CTV6FK/ref=zg_bs_1968076031_sccl_2/258-1229559-2740407?psc=1,Urbano Fashion,Men's Slim Fit Washed Jeans Stretchable,₹591,3.7,7398,1141,fbric is not so good but comfort and fitting is so nice with this of amount cannt expect more very happy worth for money good looking amazing quality nice one good product 👍 this jeans is nice but this is not a slim fit received product this is a 30inch\nif you change it for product is 32inch overall good in price range this product is value for money but the colour of the product fead too much during washing its unexpected the fit is not slim fit as written it is a bit loose will see after first wash if there is any changes,Amazon,https://m.media-amazon.com/images/I/61EJxytnV5L._UX466_.jpg,5.8768,0.1791006211539279
57,http://flipkart.com/highlander-regular-men-black-jeans/p/itmfebzyvjwgzjxy?pid=JEAFEBZYJGH5M89Y&lid=LSTJEAFEBZYJGH5M89YP3POAN&marketplace=FLIPKART&store=clo%2Fvua%2Fk58%2Fi51&spotlightTagId=BestsellerId_clo%2Fvua%2Fk58%2Fi51&srno=b_1_18&otracker=browse&fm=organic&iid=833d958c-4a8b-4ed7-ad10-fbdc5490fbd4.JEAFEBZYJGH5M89Y.SEARCH&ppt=None&ppn=None&ssid=9w50j8i8e80000001680018546142,HIGHLANDER ,Men Regular Mid Rise Black Jeans,₹597,3.8,16178,1456,best fit nice product colour faded after 2 wash,Flipkart,https://rukminim1.flixcart.com/image/832/832/kfoapow0-0/jean/w/o/d/30-000877-highlander-original-imafw2hyqbj3bsph.jpeg?q=70,1.4196,0.1741430440178382
101,https://www.snapdeal.com/product/hasasi-denim-grey-regular-fit/619261438441#bcrumbLabelId:194,Hasasi Denim,Grey 100% Cotton Regular Fit Men's Jeans ( Pack of 1 ),1025,4.1,242,16,product jeans quality was outstanding and good fitting i ordered one more denim jeans cotton jeans pen great fitting i am satisfied this hasasi denim really this is too comfortable and smooth product thanks snapdeal hasasi denim men jeans hasasi jeans great deal i like it nice podact,Snapdeal,https://n4.sdlcdn.com/imgs/k/j/t/Hasasi-Denim-Grey-100-Cotton-SDL341014525-1-12a62.jpg,4.4578,0.17385510457879344
4,https://www.amazon.in/Neostreak-Stretchable-Jeans-neoeps-Dblue-Blue_34/dp/B07QHSRDB3/ref=zg_bs_1968076031_sccl_5/258-1229559-2740407?psc=1,Neostreak,Men's Slim Fit Stretchable Jeans,₹629,3.8,8370,965,nice color good stitching worth it in amazon stuck goods are available at a very low price and cheapbut for some items it takes a lot of money☹️ good jeans thank u amazon good jins not very good material need improvement in chain not felt like jean looks like a cotton pant just fine  nothing great value for money ok product the product is good but the package was not in amazon bag rather it was only transparent plastic bag of the product itself since the product is not damaged i have not returned it but the packaging should be better than this  the seller is too casual about the packaging,Amazon,https://m.media-amazon.com/images/I/711G7qxQSNL._UY550_.jpg,5.728200000000001,0.16836635626480634
8,https://www.amazon.in/Ben-Martin-Relaxed-Jeans-BMW7-JJ-BLACKa-36-1/dp/B077NH6DRJ/ref=zg_bs_1968076031_sccl_9/258-1229559-2740407?psc=1,Ben Martin,Men's Relaxed Fit Jeans,₹499,3.6,5576,1048,relaxing when use it after 3 washing totally change the colour best in this price tag 👍 product is okay type and goes well inline with pricing for the size34 it is quite tight overall not a regular or relaxed fit which in ordered inseam lenght is okay my ht being 5\ 9 but tight and it very comfertable for a stretch pants material is thin and light black over dyed pant should be a good fit for thin people or for guys like wearing skin tight cloths most probably i will return or exchange for a relaxed fit pants mind it these are not pair of denims but five pocket pants matterial not too good specially inner pocket very bad colour shaded satisfy its tight fit jeans,Amazon,https://m.media-amazon.com/images/I/61+wT3sYB7L._UX466_.jpg,5.447700000000002,0.1452433211529309
64,http://flipkart.com/supernova-inc-slim-men-grey-jeans/p/itm403af791181a1?pid=JEAG29FYYKCUYH8S&lid=LSTJEAG29FYYKCUYH8SG3S0E5&marketplace=FLIPKART&store=clo%2Fvua%2Fk58%2Fi51&srno=b_1_25&otracker=browse&fm=organic&iid=833d958c-4a8b-4ed7-ad10-fbdc5490fbd4.JEAG29FYYKCUYH8S.SEARCH&ppt=None&ppn=None&ssid=9w50j8i8e80000001680018546142,Supernova Inc. ,Men Slim Mid Rise Grey Jeans,₹499,3.5,9996,956,ok i love so much this jeans my husband looking like very pretty its use to cool colour is awesome but pant pockets are not good quality other all everything is good ,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/jean/r/k/2/38-suplpsjeanrstthr-lgrey-supernova-inc-original-imag29fyjmzesexc-bb.jpeg?q=70,3.6118999999999994,0.13907345521835157
118,https://www.snapdeal.com/product/jb-just-black-brown-regular/623544636632#bcrumbLabelId:194,JB JUST BLACK,Brown Cotton Blend Regular Fit Men's Jeans ( Pack of 1 ),725,4.1,251,8,thanks ilike it very good quality लाजवाब jb just blak ex excellent weldone abdullah jeans good quality looking good,Snapdeal,https://n4.sdlcdn.com/imgs/k/j/o/JB-JUST-BLACK-Brown-Cotton-SDL164911176-1-b44e4.jpg,2.3335,0.13177057592327387
147,https://www.snapdeal.com/product/urbano-fashion-grey-slim-jeans/641362441160,Urbano Fashion,Grey 100% Cotton Slim Fit Men's Jeans ( Pack of 1 ),775,3.7,289,7,,Snapdeal,https://n1.sdlcdn.com/imgs/k/f/2/Urbano-Fashion-Grey-100-Cotton-SDL139395839-1-81239.jpg,0.0,0.11989119758894573
10,https://www.amazon.in/Urbano-Fashion-Black-Stretch-eps-black-34-07/dp/B07DFPM2D8/ref=zg_bs_1968076031_sccl_11/258-1229559-2740407?psc=1,Urbano Fashion,Men's Slim Fit Black Stretch Jeans,₹593,3.7,5412,851,it was fit as per size and good it fits perfectbut cloth is thin normal use well fitment 👌🏼 in this price segment the product is value for money every thing is great about this product but the cloth quality can be improved its really a nice product against the price we paid nominally good price good quality\nvalue for money 👍🏻 nice product  go for it,Amazon,https://m.media-amazon.com/images/I/611hFiiUv4L._UX522_.jpg,4.969900000000001,0.11915373264465191
141,https://www.snapdeal.com/product/plounge-grey-regular-fit-jeans/677822475833,plounge,Grey Cotton Blend Regular Fit Men's Jeans ( Pack of 1 ),949,4.1,253,11,,Snapdeal,https://n3.sdlcdn.com/imgs/k/f/2/plounge-Grey-Cotton-Blend-Regular-SDL145916727-1-66b41.jpeg,0.0,0.1163033192359613
39,https://www.amazon.in/Diverse-Relaxed-Jeans-DVD01D2L01-1p_Indigo-Blue_36W/dp/B0767J4VZ6/ref=zg_bs_1968076031_sccl_40/258-1229559-2740407?psc=1,Diverse,Men Jeans,₹879,3.7,5832,1021,only ok ok size and jeans length is large than the size of 28 perfect as same as picture very good product im using it for more than 6 months  colour not fade also fabric 10 loose it temperament but i know its okay for 12 yrs going with it decent quality not up to the mark size is bit bigger that it should be  quality better perfect fitting and finising fabric quality is very bad dont buy it see diverse tag is not as is shown in the product images see the button is also missing even after replacing they sent like thati bought this indogo3 color for size 34 be careful if youre buying this youll get scammed its a fine quality stretchable jeans 👖\ncolours are solid not fading like cheap clothes just order 1 size smaller than your actual size because it runs 1 size larger this perticular model is lo\nif you found this rivew helpful then hit the like button,Amazon,https://m.media-amazon.com/images/I/71ZdX9Bn8+L._UY550_.jpg,3.7,0.11470873740443485
107,https://www.snapdeal.com/product/jb-just-black-grey-regular/682046640262#bcrumbLabelId:194,JB JUST BLACK,Grey Cotton Blend Regular Fit Men's Jeans ( Pack of 1 ),725,4.0,219,4,best product at low price user  a good product super very fine  smooth,Snapdeal,https://n3.sdlcdn.com/imgs/k/i/b/JB-JUST-BLACK-Grey-Cotton-SDL366862133-1-37e60.jpg,1.6058000000000001,0.1038564136235581
132,https://www.snapdeal.com/product/lawson-white-skinny-jeans/657962306654,Lawson,White Cotton Blend Skinny Fit Men's Jeans ( Pack of 1 ),875,3.8,215,5,good product  good quality very nice  excellent quality quality poor quality colour not good  white,Snapdeal,https://n3.sdlcdn.com/imgs/k/h/9/Lawson-White-Cotton-Blend-Skinny-SDL910301971-1-7944f.jpg,1.8378999999999999,0.09966950328523647
138,https://www.snapdeal.com/product/plounge-grey-regular-fit-jeans/676628114527,plounge,Grey Cotton Blend Regular Fit Men's Jeans ( Pack of 1 ),875,4.2,158,6,superb best choice i like it its a great deal value of money great deal great jeans not good for the price listed,Snapdeal,https://n1.sdlcdn.com/imgs/k/f/b/plounge-Denim-Regular-Fit-Grey-SDL583019603-1-027f4.jpg,4.2781,0.09693535958286181
15,https://www.amazon.in/Ben-Martin-Mens-Relaxed-Jeans/dp/B0895ZLPMD/ref=zg_bs_1968076031_sccl_16/258-1229559-2740407?psc=1,Ben Martin,Men's Regular Fit Jeans,₹499,3.6,5510,943,dis colour after 34 wash so please not comfortable as per my expectation costeffective bhi ek kon fully comfort if you want to use this pant in regular use then must go for it \nin this price range it is actually good\nthank you amazon✌ fabric is not good\njeans look like refurbished\nmaterial quality too bad\nnot expected that\ndont buy it good mast quality is not like i want but still ill take this good,Amazon,https://m.media-amazon.com/images/I/81xXDOPK1CL._UY550_.jpg,3.1255,0.09622395848160564
29,https://www.amazon.in/Wearo-Relax-Stretch-Jeans-Denim/dp/B07RR2LB94/ref=zg_bs_1968076031_sccl_30/258-1229559-2740407?psc=1,Wearo,Men's Regular Fit Jeans,₹799,3.9,4123,475,play video i like it i dont know for me the product i got was very good satisfied customer good best fit as expected colour is good and quality is best streach सब कुछ बढ़िया और शानदार है परंतु 6 फीट ऊंचाई वाले लोगों के लिए लंबाई 3 इंच कम है। कंपनी से अनुरोध है कि कम से कम3 4 इंच लंबाई बढ़ाएं। average product material was very good fitting also nice  overall good purchase price fabric strech ability not satisfied with quality of cloth and colour color is very dull like used\nstitching and fit is good,Amazon,https://m.media-amazon.com/images/I/61HvYtNzzSL._UX522_.jpg,6.881800000000001,0.0934451032526316
42,http://flipkart.com/ben-martin-slim-men-black-jeans/p/itm054f574d738b8?pid=JEAFSQP89PTXZWPV&lid=LSTJEAFSQP89PTXZWPVYLCMDF&marketplace=FLIPKART&store=clo%2Fvua%2Fk58%2Fi51&srno=b_1_3&otracker=browse&fm=organic&iid=833d958c-4a8b-4ed7-ad10-fbdc5490fbd4.JEAFSQP89PTXZWPV.SEARCH&ppt=None&ppn=None&ssid=9w50j8i8e80000001680018546142,BEN MARTIN ,Men Slim Mid Rise Black Jeans,₹499,3.8,7417,884,nice product average product i like the quality and size is perfect  looks really good,Flipkart,https://rukminim1.flixcart.com/image/832/832/xif0q/jean/n/y/m/36-jns-light-grey-ben-martin-original-imafszrtghf4tcbg-bb.jpeg?q=70,1.795,0.09105912851815352
134,https://www.snapdeal.com/product/hasasi-denim-blue-regular-fit/641705277734,Hasasi Denim,Blue 100% Cotton Regular Fit Men's Jeans ( Pack of 1 ),1025,4.1,190,5,,Snapdeal,https://n2.sdlcdn.com/imgs/k/f/v/Hasasi-Denim-Blue-100-Cotton-SDL784324349-1-c6106.jpg,0.0,0.087342413655465
135,https://www.snapdeal.com/product/urbano-fashion-light-blue-slim/623582838462,Urbano Fashion,Light Blue Cotton Blend Slim Fit Men's Jeans ( Pack of 1 ),775,3.9,189,9,,Snapdeal,https://n2.sdlcdn.com/imgs/k/f/2/Urbano-Fashion-Light-Blue-Cotton-SDL917616360-1-d312a.jpg,0.0,0.08264453543702602
20,https://www.amazon.in/Neostreak-Jeans-neoepsjean-lgrey-Light-Grey_36/dp/B07L71HV61/ref=zg_bs_1968076031_sccl_21/258-1229559-2740407?psc=1,Neostreak,Men's Slim Fit Jeans,₹699,3.7,3936,402,gud satisfied with the fit its the first jeans i ordered online and just love it i rarely write review for products but this one deserves it its perfect and everything that i wanted from a jeans like good fit and deep pockets so  i ordered another jeans from neostreak cus these type of jeans can last upto half decades fit is not so good finally found a jean with right price perfect fit stretchable and no fading of color\nreviewed this product after 10 months of usage\n\nwill be going only for neostreak mens slim fit jeans in other colors in future good   neosteak beautiful jeans quality bhi nice h nice,Amazon,https://m.media-amazon.com/images/I/81RuOi+8grL._UY550_.jpg,6.837000000000001,0.08090872530228199
126,https://www.snapdeal.com/product/hasasi-denim-blue-regular-fit/665374116947,Hasasi Denim,Blue 100% Cotton Regular Fit Men's Jeans ( Pack of 1 ),1025,4.2,165,9,,Snapdeal,https://n1.sdlcdn.com/imgs/k/h/9/Hasasi-Denim-Blue-100-Cotton-SDL902659694-1-f5be2.jpg,0.0,0.07769999058181933
140,https://www.snapdeal.com/product/urbano-fashion-khaki-slim-jeans/646216140108,Urbano Fashion,Khaki Cotton Blend Slim Fit Men's Jeans ( Pack of 1 ),749,4.1,168,4,,Snapdeal,https://n4.sdlcdn.com/imgs/k/f/b/Urbano-Fashion-Cotton-Blend-Slim-SDL318796551-1-a5854.jpg,0.0,0.0772290815479901
